Date,Open,High,Low,Close,Volume
5/24/2017,480,482.75,474.799988,425.759155,5636286
5/25/2017,480.5,493.299988,480.5,438.467743,10438514
5/26/2017,493.5,500,490.299988,443.99704,4988004
5/29/2017,495.450012,498.350006,487.850006,439.292694,6308434
5/30/2017,491,500,489.325012,444.220062,3716910
5/31/2017,496.774994,496.774994,487.424988,435.680725,7763900
6/1/2017,484.649994,489.850006,479.274994,439.800812,5508606
6/2/2017,486.700012,487.725006,482.100006,438.917938,3917966
6/5/2017,485,486,478.524994,434.073578,5462698
6/6/2017,482.5,493.75,482.200012,443.400146,7008686
6/7/2017,492.5,494.450012,472.5,435.228058,12455046
6/8/2017,481.475006,481.475006,474.075012,433.032196,6195352
6/9/2017,469.274994,475.475006,461.5,429.478119,14757662
6/12/2017,471.674988,482.600006,470.049988,436.382538,8591676
6/13/2017,476.75,481.475006,475.799988,433.643402,4937794
6/14/2017,480,480.950012,475.600006,434.005615,7438110
6/15/2017,479.825012,483.975006,474.799988,431.062683,5528062
6/16/2017,474.549988,476.924988,468,425.697693,10948450
6/19/2017,469.975006,470.125,464,420.989075,6855860
6/20/2017,467.5,473.450012,467.024994,427.191681,5184396
6/21/2017,472.5,474.5,468.024994,427.101166,3735864
6/22/2017,473.850006,484.350006,467.549988,425.652405,9465242
6/23/2017,472.5,474.575012,469,427.055878,6403018
6/27/2017,472.5,474,461.875,419.721375,6904660
6/28/2017,466.399994,466.5,460.5,418.657379,5905224
6/29/2017,465.100006,473.975006,463.299988,421.147583,15914040
6/30/2017,465.399994,469,464.5,423.569733,4216700
7/3/2017,470.549988,477.5,467.299988,430.972198,5088924
7/4/2017,476.924988,485,474.700012,435.612885,5167726
7/5/2017,479.5,479.5,472.700012,430.51947,4226228
7/6/2017,472.5,478.5,472.100006,428.753754,3829720
7/7/2017,471.924988,472.725006,466.524994,423.501831,5776886
7/10/2017,471.600006,479.899994,470,433.303833,1464376
7/11/2017,478.325012,494.75,478.325012,441.589111,11539708
7/12/2017,487.475006,490.75,484.375,440.230896,6275976
7/13/2017,488.625,491.725006,482.049988,442.358795,5170392
7/14/2017,499.725006,503.424988,483.024994,440.095032,22478180
7/17/2017,487.5,496,487,445.528046,7698250
7/18/2017,493.024994,502.399994,490.549988,446.229797,8260180
7/19/2017,490.725006,494.325012,484.549988,443.626495,5890278
7/20/2017,489.649994,489.924988,483.475006,438.917938,6809740
7/21/2017,486.5,491.274994,485.700012,443.739777,5980754
7/24/2017,491.75,497,491.299988,448.471008,6129176
7/25/2017,495,499.5,493.100006,449.965027,7145614
7/26/2017,499.049988,499.5,495.200012,450.055603,6870024
7/27/2017,498,502,483.399994,439.642395,12676852
7/28/2017,488,501.5,481.149994,451.549683,11098428
7/31/2017,495.950012,510.850006,493.375,457.820221,19158248
8/1/2017,505.5,508.5,499.174988,455.262207,7689398
8/2/2017,503,506.375,493.600006,449.738647,4257584
8/3/2017,495.5,499.375,490.125,445.505432,4640348
8/4/2017,494,494.5,488.024994,445.392273,5349018
8/7/2017,491.75,491.875,482.850006,438.374664,6073744
8/8/2017,484.25,485.125,477.524994,436.382538,6004648
8/9/2017,483.825012,486.950012,482.274994,438.87265,3922410
8/10/2017,484.950012,493.75,484.674988,444.260406,9140684
8/11/2017,488,498.5,484.799988,447.180634,6544156
